SettlementPoint,Year,Month,AveragePrice
LZ_LCRA,2018,5,34.7354
LZ_LCRA,2018,6,30.3656
LZ_LCRA,2018,7,79.0699
LZ_LCRA,2018,8,31.808
LZ_LCRA,2018,9,27.1873
LZ_LCRA,2018,10,30.0699
LZ_LCRA,2018,11,30.5158
LZ_LCRA,2018,12,30.5827
LZ_LCRA,2019,1,24.9363
LZ_LCRA,2019,2,21.667
LZ_LCRA,2019,3,27.6493
LZ_LCRA,2019,4,23.3148
LZ_LCRA,2019,5,24.5087
LZ_LCRA,2019,6,24.5195
LZ_LCRA,2019,7,29.7479
LZ_LCRA,2019,8,126.6708
LZ_LCRA,2019,9,82.4672
LZ_LCRA,2019,10,29.0158
LZ_LCRA,2019,11,24.4852
LZ_LCRA,2019,12,19.4569
LZ_NORTH,2016,1,19.188
LZ_NORTH,2016,2,15.4622
LZ_NORTH,2016,3,17.4615
LZ_NORTH,2016,4,19.0876
LZ_NORTH,2016,5,18.1829
LZ_NORTH,2016,6,23.5627
LZ_NORTH,2016,7,27.4158
LZ_NORTH,2016,8,30.1486
LZ_NORTH,2016,9,26.6059
LZ_NORTH,2016,10,24.5327
LZ_NORTH,2016,11,18.8305
LZ_NORTH,2016,12,25.2863
LZ_NORTH,2017,1,23.603
LZ_NORTH,2017,2,19.55
LZ_NORTH,2017,3,21.8394
LZ_NORTH,2017,4,21.9758
LZ_NORTH,2017,5,24.5575
LZ_NORTH,2017,6,26.8937
LZ_NORTH,2017,7,31.1868
LZ_NORTH,2017,8,27.0604
LZ_NORTH,2017,9,23.9684
LZ_NORTH,2017,10,21.9384
LZ_NORTH,2017,11,22.2632
LZ_NORTH,2017,12,21.4081
LZ_NORTH,2018,1,37.7285
LZ_NORTH,2018,2,21.8405
LZ_NORTH,2018,3,22.6406
LZ_NORTH,2018,4,24.3669
LZ_NORTH,2018,5,37.4519
LZ_NORTH,2018,6,31.3016
LZ_NORTH,2018,7,79.8462
LZ_NORTH,2018,8,31.9716
LZ_NORTH,2018,9,27.8858
LZ_NORTH,2018,10,31.6454
LZ_NORTH,2018,11,31.9741
LZ_NORTH,2018,12,31.1319
LZ_NORTH,2019,1,24.3678
LZ_NORTH,2019,2,20.8511
LZ_NORTH,2019,3,28.594
LZ_NORTH,2019,4,23.7184
LZ_NORTH,2019,5,24.0115
LZ_NORTH,2019,6,25.2079
LZ_NORTH,2019,7,29.8349
LZ_NORTH,2019,8,126.6009
LZ_NORTH,2019,9,80.7742
LZ_NORTH,2019,10,28.7329
LZ_NORTH,2019,11,24.1536
LZ_NORTH,2019,12,19.0068
LZ_RAYBN,2016,1,19.4479
LZ_RAYBN,2016,2,15.4004
LZ_RAYBN,2016,3,17.1172
LZ_RAYBN,2016,4,18.8554
LZ_RAYBN,2016,5,18.321
LZ_RAYBN,2016,6,23.3159
LZ_RAYBN,2016,7,27.4711
LZ_RAYBN,2016,8,30.1498
LZ_RAYBN,2016,9,26.4703
LZ_RAYBN,2016,10,24.4525
LZ_RAYBN,2016,11,18.8753
LZ_RAYBN,2016,12,25.3196
LZ_RAYBN,2017,1,23.3901
LZ_RAYBN,2017,2,20.3692
LZ_RAYBN,2017,3,21.9072
LZ_RAYBN,2017,4,22.2134
LZ_RAYBN,2017,5,24.0013
LZ_RAYBN,2017,6,26.125
LZ_RAYBN,2017,7,30.7605
LZ_RAYBN,2017,8,26.8248
LZ_RAYBN,2017,9,23.5357
LZ_RAYBN,2017,10,21.3799
LZ_RAYBN,2017,11,21.8292
LZ_RAYBN,2017,12,21.3126
LZ_RAYBN,2018,1,39.3701
LZ_RAYBN,2018,2,22.4032
LZ_RAYBN,2018,3,23.8057
LZ_RAYBN,2018,4,27.1989
LZ_RAYBN,2018,5,40.9512
LZ_RAYBN,2018,6,31.9456
LZ_RAYBN,2018,7,84.9019
LZ_RAYBN,2018,8,32.5187
LZ_RAYBN,2018,9,27.6809
LZ_RAYBN,2018,10,30.625
LZ_RAYBN,2018,11,33.4524
LZ_RAYBN,2018,12,31.5535
LZ_RAYBN,2019,1,24.4115
LZ_RAYBN,2019,2,21.0663
LZ_RAYBN,2019,3,29.8098
LZ_RAYBN,2019,4,24.9983
LZ_RAYBN,2019,5,24.7882
LZ_RAYBN,2019,6,25.4585
LZ_RAYBN,2019,7,30.0297
LZ_RAYBN,2019,8,126.8979
LZ_RAYBN,2019,9,80.6986
LZ_RAYBN,2019,10,28.5544
LZ_RAYBN,2019,11,24.5176
LZ_RAYBN,2019,12,19.0851
LZ_SOUTH,2016,1,19.4817
