SettlementPoint,NodeType,YearMonth,AvgPrice
HB_SOUTH,Hub,2019-06,23.9044
HB_SOUTH,Hub,2019-07,29.6375
HB_SOUTH,Hub,2019-08,125.9365
HB_SOUTH,Hub,2019-09,78.9005
HB_SOUTH,Hub,2019-10,29.4684
HB_SOUTH,Hub,2019-11,23.7186
HB_SOUTH,Hub,2019-12,18.9525
HB_WEST,Hub,2016-01,19.1266
HB_WEST,Hub,2016-02,14.9887
HB_WEST,Hub,2016-03,15.8717
HB_WEST,Hub,2016-04,16.8628
HB_WEST,Hub,2016-05,17.3377
HB_WEST,Hub,2016-06,23.1419
HB_WEST,Hub,2016-07,26.5436
HB_WEST,Hub,2016-08,29.7867
HB_WEST,Hub,2016-09,26.3542
HB_WEST,Hub,2016-10,24.1139
HB_WEST,Hub,2016-11,18.7784
HB_WEST,Hub,2016-12,24.8627
HB_WEST,Hub,2017-01,21.9017
HB_WEST,Hub,2017-02,17.6167
HB_WEST,Hub,2017-03,19.8136
HB_WEST,Hub,2017-04,19.9961
HB_WEST,Hub,2017-05,22.1666
HB_WEST,Hub,2017-06,25.3317
HB_WEST,Hub,2017-07,30.2936
HB_WEST,Hub,2017-08,26.817
HB_WEST,Hub,2017-09,22.6788
HB_WEST,Hub,2017-10,21.6938
HB_WEST,Hub,2017-11,21.0018
HB_WEST,Hub,2017-12,20.338
HB_WEST,Hub,2018-01,36.0516
HB_WEST,Hub,2018-02,21.0876
HB_WEST,Hub,2018-03,20.3336
HB_WEST,Hub,2018-04,17.1566
HB_WEST,Hub,2018-05,27.692
HB_WEST,Hub,2018-06,28.277
HB_WEST,Hub,2018-07,78.5176
HB_WEST,Hub,2018-08,31.5601
HB_WEST,Hub,2018-09,26.1396
HB_WEST,Hub,2018-10,28.7613
HB_WEST,Hub,2018-11,28.7152
HB_WEST,Hub,2018-12,29.944
HB_WEST,Hub,2019-01,23.8815
HB_WEST,Hub,2019-02,20.4912
HB_WEST,Hub,2019-03,25.6697
HB_WEST,Hub,2019-04,19.5519
HB_WEST,Hub,2019-05,22.7027
HB_WEST,Hub,2019-06,24.7086
HB_WEST,Hub,2019-07,29.4555
HB_WEST,Hub,2019-08,126.3153
HB_WEST,Hub,2019-09,78.4292
HB_WEST,Hub,2019-10,24.6681
HB_WEST,Hub,2019-11,21.6603
HB_WEST,Hub,2019-12,18.1364
LZ_AEN,LoadZone,2016-01,19.3247
LZ_AEN,LoadZone,2016-02,15.4483
LZ_AEN,LoadZone,2016-03,16.8551
LZ_AEN,LoadZone,2016-04,18.2561
LZ_AEN,LoadZone,2016-05,18.1249
LZ_AEN,LoadZone,2016-06,24.2375
LZ_AEN,LoadZone,2016-07,27.9761
LZ_AEN,LoadZone,2016-08,30.6995
LZ_AEN,LoadZone,2016-09,26.7109
LZ_AEN,LoadZone,2016-10,25.6229
LZ_AEN,LoadZone,2016-11,19.64
LZ_AEN,LoadZone,2016-12,25.8702
LZ_AEN,LoadZone,2017-01,23.4045
LZ_AEN,LoadZone,2017-02,20.6053
